Atlanta, GA            0  715 1405  800  805 2185 1135  665  865 2495 2785 
Chicago, IL         1150    0 1000 1085  525 2020  410 1380  795 2135 2070 
Denver, CO          2260 1615    0 1120  600 1025  915 2065 1780 1270 1335 
Houston, TX         1285 1750 1805    0  795 1550 1230 1190 1635 1930 2450 
Kansas City, MO     1295  850  965 1280    0 1625  440 1470 1195 1865 1900 
Los Angeles, CA     3515 3250 1650 2495 2610    0 1935 2740 2800  385 1140 
Minneapolis, MN     1825  665 1470 1980  680 3110    0 1795 1200 2010 2015 
Miami, FL           1070 2220 3320 1915 2365 4405 2885    0 1280 3115 3365 
New York, NY        1390 1275 2865 2630 1925 4505 1935 2060    0 3055 2860 
San Francisco, CA   4015 3435 2040 3105 3000  615 3240 5015 4915    0  810 
Seattle, WA         4485 3330 2140 3940 3060 1835 2675 5415 4600 1305    0
